business_id,categories,name,review_count
QoDa50dc7g62xciFygXB9w,"[Veterinarians, Pets]",Greentree Animal Clinic,7.0
wqu7ILomIOPSduRwoWp4AQ,"[Breakfast & Brunch, American (Traditional), Diners, Restaurants]",Denny's,16.0
8QlnAcjGE6dgfKTVoxrPvQ,"[American (Traditional), Comfort Food, Caterers, Event Planning & Services, Restaurants]",Boston Market,3.0
xxWFOD46ubTSF3nPRM19BA,"[Health & Medical, Periodontists, Dentists, Orthodontists, General Dentistry]",Emmert Dental Associates,6.0
8Nm_jcCYtMXYW0ODSHDiXA,"[Seafood, Steakhouses, Japanese, Restaurants]",Sapporo Japanese Steakhouse,10.0
imM-x_nAxVtYGVFJJ4FS3Q,"[Flowers & Gifts, Shopping, Florists]",Cindy Esser's Floral Shop,8.0
_jsJFrAmFVPRio0eEVExbA,"[Burgers, Fast Food, Restaurants]",McDonald's,6.0
dEuJ4A6v1lUDKF8wWwxy_w,"[Hotels & Travel, Event Planning & Services, Hotels]",Avalon Motel,8.0
JX2gDf2uy2UGuKPpcKT-IA,"[Burgers, Fast Food, Restaurants]",Wendy's,5.0
jaT6pO-oUOuTBozfdB9NvA,"[Veterinarians, Pets]",Avalon Veterinary Hospital,12.0
GhiELXApZ-oFukgu8vAN3g,"[Local Services, Sewing & Alterations]",Jesse's Tailor Shop,3.0
udZJ8YgsHdqtFDQkyPTV1Q,[Restaurants],Arby's,4.0
kKmvSJ6Z8UVPdrnL74bqrg,"[Thrift Stores, Shopping]",Red White & Blue Thrift Store,24.0
Rjx8GcWuCzfVsKC5iPIcQA,"[Food, Ice Cream & Frozen Yogurt]",Remember When,11.0
_hY-j2OLXL_45_x2T4gQtA,"[Health & Medical, Dentists, General Dentistry]",Murphy's Family Dentistry,3.0
CxAupi9tjzTaGG5Fasu9Eg,"[Home & Garden, Shopping, Home Decor, Antiques]",Paul's Clock Repair,5.0
s74Tq6WKV1b91UFRr7ch7g,"[Food, Beer, Wine & Spirits]",Pistella Beer Distributors,17.0
ljKPmpxxTJSEArW2T-ikFA,"[Pet Services, Pet Groomers, Pet Boarding/Pet Sitting, Pets]",Animal Elegance,11.0
ZL6DNzyenFm9Kpz6uADlNg,"[Tapas/Small Plates, Restaurants, Italian]",Pino's Contemporary Italian Restaurant & Wine Bar,65.0
uQJxkV5v60fNkrOj0J2sTw,"[Barbers, Beauty & Spas]",Pirollo Paul Barber Shop,3.0
G-PlXGCY3G4zNOUzD61ZDA,"[Auto Repair, Automotive]",Brunos Garage,6.0
03L-fWaiSk_KiyUMm5K22Q,"[Auto Repair, Automotive, Body Shops]",Senge Auto Body,3.0
PWU8x7SJdc0ZI0oWOkPfww,"[Auto Repair, Automotive, Auto Parts & Supplies]",Broadway Auto Parts,4.0
PEOdy1AUNMsyXKyGCmhVSg,"[Event Planning & Services, Caterers]",Big Burrito,3.0
l-dc5DeNBiHYJA1XO4cFPA,"[Auto Repair, Automotive]",Bastone Auto Service,20.0
BG4N0V93wml9kaU6YYRxRA,"[Food, Grocery, Shopping, Drugstores]",Giant Eagle,18.0
rM-yscH8mBLYvpWnmvuPMw,"[Hair Salons, Beauty & Spas]",Supercuts,10.0
OcTG-KzDleuRub-pb6JS3Q,"[Italian, Pizza, Restaurants]",Eddie's Pizza Haus,8.0
5UxCrCoS02vFlSKH0pZ-fg,"[Automotive, Body Shops]",Bonura and Sattler Auto Body Shop,6.0
Y2p07YEC8xOsYTHWf0UxiA,"[Chinese, Restaurants]",Tasty Chinese Restaurant,26.0
g58NW9q4F09wTMiI7EIjmg,"[Pizza, Restaurants]",Vento's Pizza,17.0
Pu5uzlZ05pqVlx6LcZbfgw,"[Italian, Pizza, Restaurants]",Minutello's Restaurant & Lounge,8.0
w8N1BIB2MiP53PM7ouYPQQ,"[Automotive, Gas & Service Stations]",Shell,7.0
f_e6RWJIERK708E4Cod1wg,"[Automotive, Body Shops]",Mikes Auto Body,21.0
VkFDer80GOrelWALdgNReg,"[Animal Shelters, Veterinarians, Pets]",Animal Rescue League Shelter & Wildlife Center,43.0
ncJHHRHqsEKUl_5InoDBRA,"[Local Services, Sewing & Alterations]",Topline by Vincent,6.0
vXBc-i30S0eypUVy7TA6cw,"[Shopping, Drugstores]",CVS Pharmacy,5.0
UFhcxnTzfLO-ROftyP_ukw,"[Tires, Automotive, Auto Repair, Oil Change Stations]",Goodyear Auto Service Center,9.0
WNh5vxnNeWTwxotscrQ6vQ,"[Real Estate Services, Home Services, Real Estate]",Rockwel Realty,8.0
83_p9vIqOq1TUIf3_GD7bA,"[Food, Coffee & Tea, Cafes, Restaurants]",Tazza D'oro Cafe & Espresso Bar,117.0
Ts4xsKPU7FNPPZRj-nRjIg,"[Bars, Restaurants, Sports Bars, Barbeque, Nightlife]",Buffalo Blues,62.0
UtWJ8NGMg-3z28s0RzlUoQ,"[Chinese, Restaurants]",China Garden,18.0
Nnk1gNKSi_12ziNuK2llxA,"[Shopping, Home Decor, Home & Garden, Furniture Stores]",Arhaus Furniture,5.0
Px-EjhtV9XJcEs1ty4giAg,"[Pets, Pet Stores]",Smiley's Pet Pad,5.0
2i6lkGef2_GMudi6SbRX2w,"[Health & Medical, Chiropractors]",Shady Hill Chiropractic Clinic,7.0
t15LDNaHFpu-bAEJSdoV-g,"[Tires, Automotive, Auto Repair, Oil Change Stations]",Monro Muffler Brake & Service,9.0
bZcqORBnVApUA2-SEn7VEQ,"[Burgers, Fast Food, Restaurants]",McDonald's,8.0
WWlNzfSllSQhr4whj0W_ng,"[Auto Repair, Automotive]",Walter's Automotive,99.0
R03p_2AxXpNtM31lutbnkA,"[Arts & Entertainment, Performing Arts]",Kelly Strayhorn Theater,4.0
LVEHxJheleSXj1oKxALYbQ,"[Keys & Locksmiths, Home Services, Security Systems]",Ace Lock,10.0
YMEtEsUDQKOYJOcE5Fx3gQ,"[Bakeries, Food, Specialty Schools, Education, Cooking Schools]",Food Glorious Food,41.0
-raHHPz6kBnQgBH-oCuDFA,"[Financial Services, Hotels & Travel, Travel Services, Insurance]",AAA,25.0
1IwQhGGOrVNGGQskR_3uLw,"[Libraries, Public Services & Government]",Carnegie Library of Pittsburgh - East Liberty,4.0
ZDKi3qsO8lSSogrIdbLJKg,"[Bars, Arts & Entertainment, Nightlife, Music Venues]",Shadow Lounge,28.0
qA1PXTv0snTO1gpNPm-Jfw,"[Hardware Stores, Shopping, Nurseries & Gardening, Appliances, Home & Garden]",The Home Depot,33.0
riqqVx-LssGUErBeQisKng,"[Art Schools, Specialty Schools, Education]",Pittsburgh Glass Center,14.0
fp-tknN_5XBmhUS4fSJBgQ,"[Churches, Religious Organizations]",Mt. Ararat Baptist Church,4.0
hzEFfuz2mOA3whGk8UZxjQ,"[Hair Salons, Beauty & Spas]",Hairdressers II,6.0
IX8FoKD6Gjha0pePoBrSqQ,"[Local Services, Dry Cleaning & Laundry, Shoe Repair]",Shadyside Valet,11.0
FZ67NZD-_aou82e-7TT_nA,"[Auto Repair, Oil Change Stations, Tires, Automotive]",Midas,17.0
56eSsdwPI7t6c0t312VqLg,"[Home Services, Real Estate, Apartments]",Motheral,4.0
B9C6j80ob0f1pwi1Cnnd1Q,"[Pizza, Restaurants]",Pizza Parma,37.0
OWNkVvDfREC1_6S3jS-7Ug,"[Optometrists, Health & Medical]",Family Vision Care,5.0
gZEUfwSZDuVtLDWl96kiFA,"[Local Services, Dry Cleaning & Laundry]",Econowash Laundry,6.0
wfCLz9-aeShbPB7CaTY-qQ,"[Food, Health Markets, Grocery, Organic Stores, Specialty Food]",Whole Foods Market,111.0
kDtr03NIjERTqpdfVRCXWg,"[Event Planning & Services, Party & Event Planning]",Prop Shop,3.0
PaD_6AJMbLt84QU8T6ymow,"[Auto Repair, Automotive, Transmission Repair, Oil Change Stations]",Aamco Transmissions,21.0
XhVqPwnKEFa6QuU-NNb2ag,"[Home Services, Real Estate, Apartments]",Franklin West,9.0
0sSHuXYIuJ5iy8eSCAq4gg,"[Active Life, Tennis]",Pittsburgh Indoor Tennis Club,4.0
XC9blQA9Mk4w7oKVJ0nJXw,"[Women's Clothing, Men's Clothing, Fashion, Shopping]",Time Bomb Spot,5.0
tvXTHj9V5sgRoeVJW_FiTg,"[Chinese, Restaurants]",Jimmy Tsang's Chinese Restaurant,12.0
wK3Bxrjd4pfwhxlVkKawpw,"[Home Services, Real Estate, Apartments]",Kamin Realty,4.0
_4jd_mYZ8EmE7Hl7AOyWzA,"[Health & Medical, Chiropractors]",Newman Chiropractic Center,5.0
2SwC8wqpZC4B9iFVTgYT9A,"[Bars, Mediterranean, Wine Bars, Nightlife, Restaurants, Diners]",Casbah,276.0
FcWZ-X_tEku6n--hDLEnrw,"[Hair Salons, Day Spas, Beauty & Spas]",Hair By Damian,3.0
PzG0XmAmtXFs6Fdnubf41g,"[Food, Coffee & Tea, Vegetarian, Restaurants]",Quiet Storm Vegetarian & Vegan Cafe,144.0
lHP5STO7aomlEQixH8m1aA,"[Pizza, Restaurants]",Pizza Perfectta,81.0
0TvxDhCKPQ-_dDyffEnJQQ,"[Veterinarians, Pets]",Point Breeze Veterinary Clinic,21.0
EPILrBqmgQxd-R1gZ1EWJg,"[Food, Grocery]",Frick Park Market,16.0
-iVcmhjfq79QoTWzrb6pKg,"[Health Markets, Food, Vegetarian, Restaurants, Specialty Food]",East End Food Co-Op,79.0
PavTvJ4JSe9rAwjlr-wrsg,"[Local Services, Building Supplies, Home Services, Recycling Center]",Construction Junction,34.0
bAnFMk-UoNjyVYUj0sJT0w,"[Health & Medical, Dentists, General Dentistry]",Block Harvey M DMD,3.0
5V1K5DRpGrObijbtCuPbcg,"[Active Life, Climbing, Rock Climbing]",The Climbing Wall,35.0
t_Mjhtr0KTB9uGNzxl37WQ,"[Auto Repair, Automotive, Tires, Oil Change Stations]",Meineke Car Care Center,8.0
l_Wey2YC6NvVUIH8vTygGg,"[Portuguese, Mediterranean, Restaurants]",Cafe Zinho,69.0
XWLtYPhCpHht5Zn52zp3-Q,"[Museums, Landmarks & Historical Buildings, Arts & Entertainment, Art Museums, Public Services & Government]",Frick Art & Historical Center,37.0
4pDO3TZ-WJDofAt4uREMig,"[Auto Repair, Automotive]",Angels Automotive Service,3.0
XvyKrYbc0dvih-P8dATEMA,"[Local Services, Appliances & Repair]",Appliance Service Center,8.0
cuuJJ9W3tYmidaLvlzvPBw,"[Skin Care, Hair Salons, Beauty & Spas]",Izzazu Salon,28.0
Y3E5QDlKmjHD2zOSPASFIA,[Restaurants],Maietta Restaurant,6.0
2PfavOTufsPCRdYm-bFcpw,"[Food, Ice Cream & Frozen Yogurt, Desserts]",Page Dairy Mart,95.0
F1WATjGcFKhewCXvleTi8w,"[Hardware Stores, Shopping, Home & Garden]",Miller Ace Hardware,5.0
RqWF79LfzXl0PAN_hVCa2Q,"[Bakeries, Food]",Kullman's Bakery,3.0
p4MU6va9M7mVe6JzOtqUvA,"[Discount Store, Shopping]",Family Dollar,3.0
W7-Ybhe6JWJFXjcbmgvdyA,"[Chinese, Restaurants]",Great Wall Chinese Food,5.0
qUeBDN0D8SC93KeAHhiL-g,"[Restaurants, Italian]",Alla Famiglia,111.0
YXuvFMtygHPFEOEXgRtgLQ,"[Chinese, Restaurants]",No 1 China House,5.0
lItAsttBd6f6VFvVxZSIgg,"[Banks & Credit Unions, Financial Services]",Dollar Bank,3.0
RmGlsFfoxaf9vWpfkyXBjQ,"[Beauty & Spas, Nail Salons]",Future Nails,6.0
sGSTIYyYXaYl9XDWfxbEeQ,"[Plumbing, Home Services, Heating & Air Conditioning/HVAC]","Staab & Sons, Inc.",4.0
Csi12bjcnJ6hDpcbedX6Jg,"[Italian, Pizza, Chicken Wings, Restaurants]",Pizza Hut,6.0
LltDzuzRbAJbSrqD4JH-3A,"[Chinese, Restaurants]",Hunan Wok Chinese Takeout,12.0
7dtwU14PIkivs1l5odxjMg,"[Tires, Automotive, Auto Repair, Transmission Repair]",Ronnie's Tire Service - Pittsburgh,4.0
VkqKyq09rDYMhFk5nElWWA,"[Food, Ice Cream & Frozen Yogurt, Pizza, Restaurants]",Bishop's Pizza,6.0
1tSzow6N3xDM4t5sCkDY1g,"[Hair Salons, Beauty & Spas]",Cost Cutters,5.0
QIJa5h2d65Bgh82zct7c7A,"[American (Traditional), Diners, Restaurants]",Frank & Shirley's Restaurant,22.0
fnAU_q5JWWuPzMvwtQh3Tg,"[Automotive, Motorcycle Dealers]",Bohn M J Cycle Shop,5.0
_-PwQYA8IyNAnsFvRCQbQQ,"[Tires, Automotive, Body Shops, Towing]",John Varney Tire & Auto Center,3.0
PTkChuI3GPCw-ZL1Iph76A,"[Italian, Pizza, Restaurants]",DiCarlo's Original Pizza,10.0
vTHVf88tai9n0902QzZiig,"[Computers, Shopping, Office Equipment]",Roth Computer Register,3.0
BbIh5NTizhV4Fq_mLmNkpg,"[Seafood, Fast Food, Restaurants]",Long John Silver's,3.0
Ga0y-XHa4os_VvoHz21bfQ,"[Pizza, Restaurants]",Anthony's Pizza,12.0
xMZM_vyCraM9BZUn4yrj5Q,"[Fast Food, Chicken Wings, Restaurants]",KFC,3.0
YRDKsBFYP7G0E8BLJKIkvA,"[Pubs, Bars, Nightlife]",The Park House,61.0
bockWFDA3mzjuujY7tOcaw,"[Professional Services, Arts & Entertainment, Shopping, Video/Film Production, Photography Stores & Services]",Bernie's Photo Center,13.0
IxQ1ATP_Wg_QujO9nywzcQ,"[German, Pubs, Bars, Nightlife, Restaurants]",Max's Allegheny Tavern,162.0
TyIsuojeKcTb4Acfg7xqew,"[Chinese, Restaurants]",China Taste,11.0
SUrKsPgkuhimZPjq3hjzQw,"[Bars, Nightlife]",Mt Troy Inn,3.0
oj8bMz76cKXQClpFTFNW9w,"[Delis, Restaurants]",North Shore Deli,11.0
hBAcj7X5JHeX2hvmptwH-w,"[Hotels & Travel, Bed & Breakfast, Event Planning & Services, Hotels]",The Priory Hotel,44.0
Q0Mb1wtXrza1nKWHqiLfDQ,"[Local Services, Notaries]",Payne Rose Marie Notary,3.0
L6yf7W3uvCHdLrmLmPLJ8Q,"[Dive Bars, Bars, Nightlife]",Key West,3.0
IbsyDDAlTVwfPR8dGOHkRQ,"[Doctors, Health & Medical, Podiatrists]",Rectenwald Richd A DPM,3.0
k1A8pNspBPinGDivxkuDSA,"[Bars, American (Traditional), Nightlife, Restaurants]",Clark Bar & Grill,11.0
-nO_qj9eP-os3baYyh8eNA,"[Pizza, Restaurants]",Pasta Too,5.0
e5DtayybW4jbKcDBwEUmOQ,"[American (Traditional), Restaurants]",Mullin's Diner,11.0
Z7HNl4Gz00cA0_wt0S-vSw,"[Bakeries, Food]",BreadWorks,17.0
CqHTknOJHZZncWzGtpbNsA,"[Pizza, Restaurants]",Ron's Pizza Palace,6.0
OjzR6hUYasFReo0vhVn0-w,"[German, Beer, Wine & Spirits, Food, Restaurants]",Teutonia Mannerchor,8.0
6AnorAMPkTdSDbUkOoV1Rw,"[Cafes, Restaurants]",Billy's Troy Hill Bistro,5.0
0Ov1O2Gd0dwjkSaj5NJbhg,"[Arts & Entertainment, Cinema]",Rangos Omnimax Theater,6.0
EEuGTah-oEssSl3o6pK-ZQ,"[Museums, Arts & Entertainment]",Carnegie Museums of Pittsburgh,49.0
49nxzKLr2qQnLF58qo2p1w,[Restaurants],Heinz USA,4.0
rEKBr81s19Soh3dYj4bcGQ,"[Italian, Pizza, Chicken Wings, Restaurants]",Pizza Hut,9.0
q_BKmbdlYfQJroJVHfYMUQ,"[Restaurants, Italian]",Legends of The North Shore,94.0
zq--BGVHu7_fb1VHEwg2ow,"[Food, Beer, Wine & Spirits]",Caruso Beer Distributor,9.0
c2SRTeR99F1UfMj-Ijah4A,"[Arts & Entertainment, Social Clubs]",Elks B P O,3.0
99WYCuBEsO7OUCDWbbrrew,"[Fast Food, Sandwiches, Restaurants]",Subway,6.0
cZl7-Um4HiJWFgDVmMan2Q,"[Food, Grocery]",Giant Eagle,21.0
9jkxYkOOLge89D3KHrrNsw,"[Barbers, Beauty & Spas]",Dave's Barber Shop,3.0
yZiDtpCarfI2f1qbZYQiJA,"[Local Services, Dry Cleaning & Laundry]",Pfennig's Cleaners Inc,4.0
vMCCvnDU-Iz_D_pmbcMqzA,"[Bars, American (New), Nightlife, Restaurants]",Peanutz,7.0
xMekAmDsCdhk21Buf9ucSQ,"[Food, Coffee & Tea]",Cool Beans Coffee,4.0
Hm61vENWRqcAL_v6E3dD9Q,"[Active Life, Leisure Centers]",Allegheny YMCA,4.0
hUV4bjXE8Ijd-pDNr8S6mA,"[Hot Dogs, Restaurants]",Steves New York Hotdog Shop,6.0
NKT8-CeoqUYIGUeNXBPVVQ,"[Beauty & Spas, Nail Salons]",Nails Today,5.0
Od9niVya8G5BD3a1l2ss-g,"[American (New), Pizza, Restaurants]",Lillen's Restaurant,4.0
Z101WZaISochG6g7tI2ZVw,"[American (New), Sandwiches, Restaurants]",Atria's Restaurant,69.0
zOEKMp69QWrXeyVH1Je9DA,"[Real Estate Services, Property Management, Home Services, Real Estate]",Atch-Mont Real Estate,3.0
-Gfj1gA0Ir07zToO-4fBpw,"[Museums, Arts & Entertainment, Children's Museums]",Children's Museum of Pittsburgh,51.0
Eixtf79t1_ZKaC-7J2kAWg,"[Pizza, Restaurants]",Pickles Pizza & Sandwich Emporium,16.0
Z0OGW8PysysRXE0dR7QxQQ,"[Barbeque, Restaurants]",Wilson's Bar-B-Q,20.0
5GS5sBSscgcex0IFTDL9Bg,"[Professional Sports Teams, Arts & Entertainment, Stadiums & Arenas]",Pittsburgh Steelers,51.0
I9-Ei8_KYtMjbixNJSCvwA,"[Food, Ice Cream & Frozen Yogurt, Delis, Restaurants]",The Isaly Company,4.0
fB7XYJYrTtchlTmzSQVMbQ,"[Arts & Entertainment, Professional Sports Teams]",Pittsburgh Pirates,12.0
I5JRRkFZrrdcdiT91WwdUw,"[Churches, Religious Organizations]",St Anthony's Chapel,6.0
W25mXeVDTHBIXAidJrwHPg,"[Auto Repair, Automotive]",Lester Yon Auto Repair,8.0
yfuoL_w76WFVHcGJbw0IIg,"[Pizza, Restaurants]",Nick's Place,11.0
2cupks8QYzFpMYDiysGOug,"[Diners, Restaurants]",Don's Diner,6.0
TJS9ow91yySX4Gt35hQc1w,"[Pet Services, Pets, Pet Stores, Pet Boarding/Pet Sitting]",Three Dogs & A Cat Grooming Salon,3.0
obAdXU3RULuUOww759_h_w,"[Food, Specialty Food, Meat Shops]",Tom Fridays Market,9.0
AAcw9y30cRuMo0oa8UBiIw,"[Pizza, Restaurants]",Wiseguys Pizza,12.0
YUZVBdGmagwXV-yOhR-1GQ,"[Seafood, Restaurants]",Miller's Seafood House,12.0
OIL-eZX8d10jgWPLW-E7zA,"[Pizza, Restaurants]",Chubby's Pizza & Hoagies Northside,14.0
N2DwycuZl95miWf39Yskaw,"[Bakeries, Food]",Schorr Bakery,6.0
XFP5IqHhQ2aElYN3ATJTyg,"[Home Services, Contractors]","John Hancock Contracting, Inc",4.0
4KJhRKocVPhrkdQQX2KVCw,"[Event Planning & Services, Party & Event Planning, Caterers]",All the Best Catering,5.0
titJ-ofqKMG9d0i9_kkX6A,"[Veterinarians, Pets]",West Liberty Animal Hospital,11.0
PSlOtPIo28BvWOzdLmRRRQ,"[Polish, Greek, Restaurants]",Knossos Gyros & Sis-Kabob,16.0
H9R8b2pgn3NQhQHesEUEiQ,"[Music & DVDs, Books, Mags, Music & Video, Shopping, Videos & Video Game Rental]",The Exchange,3.0
0zO219KZJf-5QsRNRMmELQ,[],Pennzoil 10 Minute Oil Change Center,3.0
7KjZ49Xrb6QWjnu5NlxzVw,"[Bars, Nightlife]",Apple Inn,14.0
Wnn1GtvvtnkFdPfdRcYW-Q,"[Shopping, Books, Mags, Music & Video, Reflexology, Health & Medical, Bookstores, Reiki]",Moonstones,19.0
oXaIwYLi9mzUxcYde9rDcg,"[DJs, Event Planning & Services, Party & Event Planning]",Entertainment Unlimited,6.0
9NL2GL4jSPVj9SKijH5PqA,"[Food, Grocery]",Kuhn's Market,20.0
f0Sz4efqcGDO45fNyIuD3w,"[Barbers, Beauty & Spas]",Tonys Barber Shop,3.0
7ArW9lGBoSNOWIY5myDLWw,"[Hair Salons, Hair Extensions, Beauty & Spas]",Persona Hair & Spa,4.0
dWVFS5Jiu6Ee7vOLc2T6-w,"[Sporting Goods, Bikes, Shopping]",West Liberty Cycles,8.0
wan0X-oHpLgGTPXqaICZCw,"[Bars, American (Traditional), Nightlife, Restaurants]",Huddle,17.0
05l84gPaZX2IWaIaoAq3hg,"[Hair Salons, Eyelash Service, Hair Removal, Waxing, Beauty & Spas]",Sergio's Style,34.0
QnyzlVMyx0Exri-Lay10cA,"[Sushi Bars, Japanese, Restaurants]",Sushi Three,23.0
81sqVj0xHyJXGYT0ip5fmQ,"[Chinese, Restaurants]",Green Garden,13.0
QjMZ3Gt4c-vS2uVUWQrVbw,"[Bars, Nightlife, Lounges, Karaoke]",Vasta,3.0
3FUUb4SjXJc5BkZr2Jpgdg,"[Health & Medical, Dentists, Orthodontists]","Diane J Karnavas, DMD",3.0
WY6FFxpa6ztwDH5OhS6WDw,"[Bakeries, Food]",Potomac Bakery,26.0
Uo-CAX-rozy4k-8yra1tJg,"[Libraries, Public Services & Government]",Dormont Public Library,3.0
nvrXLcmknaYuiGRquWhwIQ,"[Hotels & Travel, Event Planning & Services, Hotels]",Days Inn Pittsburgh,22.0
93UCt9OgWYmypZCpXtUu8g,"[Pizza, Sandwiches, Salad, Restaurants]",Beto's Pizza,145.0
WYXbVUx79W30tW9PI9phIA,"[Auto Repair, Automotive]",Firestone Complete Auto Care,11.0
EQDb2DddZaRs_EeSbqyv3w,"[Fashion, Shopping, Shoe Stores]",Payless Shoe Source,3.0
106U0pNBlmR5uekLzOTdBg,"[Local Services, Dry Cleaning & Laundry, Sewing & Alterations]",Suburban Dry Cleaners,3.0
LV_OCiR9rOHVHgdhbpqw2Q,"[Food, Ice Cream & Frozen Yogurt]",Scoops On Beverly,18.0
cRv7pLvIe3eI0efndQBcLg,"[Food, Beer, Wine & Spirits]",Banksville Beer,7.0
za5fND9-pXyVSk5rM28MsQ,"[Dive Bars, Bars, American (New), Nightlife, Restaurants]",Slapshots,4.0
zFq8BDdWUvOfHQbdzMVnyg,"[Nutritionists, Health & Medical, Chiropractors]",Mt Lebanon Chiropractic,3.0
ORTRrw3ClZ0Ld0LgY1H_5g,"[Fast Food, American (Traditional), Restaurants]",Eat'n Park Restaurant,21.0
9aw0t0rlACKkMaxsX0KlKA,"[Food, Ice Cream & Frozen Yogurt, Fast Food, Restaurants]",Dairy Queen,10.0
-xymuZ9qLUwGQBD9FxldGQ,"[Arts & Entertainment, Performing Arts]",PICT Classic Theatre,5.0
ZH_t1lKTDOdPOvyIckDOMA,"[Lighting Fixtures & Equipment, Home Services]",Lighting by Erik Inc,6.0
IGF_b0dO3R2J-p8x70gK4Q,"[Home Services, Heating & Air Conditioning/HVAC]",Metro Heating & Cooling Corp,4.0
5Udv4CASAXB2eH66TefWPQ,"[American (New), Restaurants]",Cain's Saloon,106.0
